,Depth,Water Temp
0,1.1,12
1,3.3,12
2,5.4,12
3,7.5,12
4,7.8,12
5,7.9,12
6,8.1,12
7,7.4,12
8,7.6,12
9,7.0,12
10,7.2,12
11,6.4,12
12,5.8,12
13,6.1,12
14,6.7,12
15,7.3,12
16,7.9,12
17,8.3,12
18,8.3,12
19,8.2,12
20,8.2,12
21,8.3,12
22,8.3,12
23,8.2,12
24,8.1,12
25,8.5,12
26,8.400001,12
27,8.5,12
28,8.8,12
29,9.400001,12
30,10.0,12
31,10.6,12
32,12.0,12
33,13.3,12
34,14.1,12
35,15.1,12
36,16.4,12
37,17.4,12
38,18.1,12
39,19.0,12
40,19.6,12
41,20.3,12
42,21.2,12
43,21.9,12
44,22.9,11
45,23.8,11
46,24.4,11
47,24.7,11
48,24.9,11
49,25.3,11
50,26.1,11
51,27.2,11
52,28.0,11
53,28.9,10
54,29.8,10
55,30.4,10
56,31.6,10
57,32.5,10
58,32.9,10
59,33.5,10
60,34.3,10
61,34.7,10
62,35.5,10
63,36.5,10
64,37.3,9
65,38.2,9
66,38.7,9
67,39.4,9
68,40.1,9
69,40.5,9
70,40.4,9
71,40.8,9
72,41.2,9
73,41.1,9
74,40.7,9
75,40.9,9
76,40.8,9
77,40.4,9
78,40.9,9
79,40.8,9
80,40.4,9
81,40.2,9
82,40.4,9
83,40.3,9
84,40.0,9
85,40.2,9
86,40.3,9
87,39.7,9
88,39.8,9
89,40.1,9
90,40.5,9
91,41.1,9
92,40.8,9
93,40.2,9
94,40.8,9
95,41.1,9
96,40.6,9
97,40.9,9
98,41.2,9
99,40.9,9
100,40.7,9
101,40.5,9
102,41.0,9
103,41.2,9
104,40.6,9
105,40.7,9
106,41.0,9
107,41.0,9
108,40.0,9
109,40.0,9
110,40.6,9
111,40.5,9
112,40.5,9
113,40.5,9
114,40.4,9
115,40.3,9
116,40.4,9
117,40.7,9
118,40.8,9
119,41.3,9
120,41.3,9
121,40.6,9
122,40.9,9
123,40.5,9
124,40.7,9
125,40.6,9
126,40.3,9
127,40.1,9
128,39.6,9
129,39.2,9
130,39.6,9
131,39.9,9
132,39.9,9
133,40.1,9
134,40.0,9
135,40.2,9
136,40.1,9
137,40.0,9
138,40.4,9
139,40.2,9
140,40.7,9
141,40.8,9
142,40.5,9
143,40.1,9
144,40.3,9
145,40.7,9
146,41.0,9
147,40.8,9
148,40.8,9
149,40.7,9
150,40.2,9
151,39.7,9
152,39.0,9
153,37.9,9
154,38.3,9
155,37.2,9
156,36.6,9
157,35.6,9
158,35.2,9
159,34.2,9
160,33.4,9
161,32.7,9
162,32.2,9
163,31.4,9
164,30.7,9
165,29.0,9
166,27.8,9
167,27.6,9
168,26.3,9
169,24.5,9
170,24.1,9
171,24.4,9
172,24.2,9
173,23.9,9
174,22.2,9
175,22.5,9
176,22.5,9
177,22.4,9
178,21.8,9
179,21.5,9
180,19.9,9
181,19.9,9
182,20.5,9
183,20.2,9
184,20.6,9
185,20.3,9
186,20.2,9
187,20.5,9
188,20.6,9
189,20.8,9
190,20.4,9
191,20.1,9
192,19.0,9
193,18.2,9
194,16.9,9
195,17.3,9
196,17.8,9
197,17.3,9
198,16.8,9
199,16.4,9
200,16.2,9
201,16.2,10
202,16.1,10
203,15.7,10
204,13.8,10
205,13.7,10
206,13.4,10
207,12.3,10
208,12.2,10
209,12.3,10
210,11.5,10
211,11.9,10
212,11.9,10
213,10.5,11
214,9.7,11
215,9.2,11
216,8.5,11
217,8.3,11
218,7.6,11
219,7.4,11
220,7.5,11
221,7.8,11
222,7.4,11
223,7.3,11
224,6.7,11
225,6.3,11
226,5.8,12
227,6.2,12
228,6.4,12
229,6.3,12
230,6.3,12
231,6.4,12
232,6.3,12
233,6.0,12
234,5.7,12
235,6.0,12
236,6.3,12
237,6.4,12
238,6.4,12
239,6.1,12
240,6.0,12
241,6.0,12
242,6.2,12
243,6.0,12
244,6.0,12
245,6.1,12
246,6.2,12
247,6.4,12
248,6.3,12
249,6.3,12
250,6.0,12
251,6.2,12
252,6.0,12
253,6.1,12
254,5.9,12
255,6.3,12
256,6.4,12
257,6.3,13
258,6.1,13
259,5.9,13
260,5.8,13
261,5.9,13
262,6.0,13
263,6.1,13
264,6.3,13
265,6.2,13
266,6.2,13
267,6.1,13
268,6.2,13
269,6.2,13
270,5.9,13
271,6.1,13
272,6.0,13
273,5.9,13
274,5.8,13
275,5.7,13
276,6.2,13
277,6.3,13
278,6.2,13
279,6.4,13
280,6.5,13
281,6.4,13
282,6.3,13
283,6.0,13
284,6.0,13
285,5.9,13
286,6.0,13
287,5.7,13
288,5.4,13
289,5.7,13
290,5.8,13
291,5.2,13
292,4.8,13
293,4.3,13
294,4.1,13
295,3.9,13
296,4.4,13
297,4.1,13
298,3.6,13
299,3.6,13
300,3.2,13
301,2.4,13
302,2.4,13
303,2.6,13
304,2.8,13
305,2.5,13
306,2.3,13
307,0.0,13
308,0.0,13
309,0.0,13
310,0.0,13
311,0.0,13
312,0.0,13
