,Depth,Water Temp
0,2.6,29
1,3.3,29
2,3.4,29
3,5.0,29
4,6.1,29
5,7.2,29
6,7.8,29
7,8.1,29
8,8.900001,29
9,8.8,29
10,8.6,29
11,9.0,29
12,10.1,29
13,10.3,29
14,10.6,29
15,10.9,29
16,9.6,29
17,8.2,29
18,6.4,29
19,5.3,29
20,4.9,29
21,4.2,29
22,5.0,29
23,6.4,29
24,8.1,29
25,8.7,29
26,9.7,29
27,10.9,29
28,11.7,29
29,12.1,29
30,12.9,28
31,13.9,28
32,14.8,28
33,15.8,28
34,16.6,28
35,16.9,28
36,17.7,28
37,17.9,28
38,17.8,28
39,18.5,28
40,18.9,28
41,18.4,28
42,19.2,28
43,19.1,28
44,18.9,28
45,18.8,28
46,18.7,28
47,18.6,28
48,18.5,28
49,19.2,28
50,19.6,28
51,20.2,28
52,20.2,28
53,20.3,28
54,20.6,28
55,20.9,28
56,20.8,28
57,20.6,28
58,20.6,28
59,20.8,28
60,21.2,28
61,21.3,28
62,21.4,28
63,21.3,28
64,21.2,28
65,19.9,28
66,19.6,28
67,20.1,28
68,21.1,28
69,22.4,28
70,23.9,28
71,24.6,28
72,25.3,28
73,26.2,28
74,26.6,28
75,25.7,28
76,25.6,28
77,25.7,28
78,25.2,28
79,24.9,28
80,24.7,28
81,24.7,28
82,23.8,28
83,22.8,28
84,21.8,28
85,21.5,28
86,21.3,28
87,21.3,28
88,21.2,28
89,20.9,28
90,21.5,28
91,21.0,28
92,20.5,28
93,20.1,28
94,20.1,28
95,20.1,28
96,19.6,28
97,19.0,28
98,18.5,28
99,17.7,28
100,17.9,28
101,18.3,28
102,18.6,28
103,18.5,28
104,18.0,28
105,17.5,28
106,18.0,28
107,17.9,28
108,17.5,28
109,17.5,28
110,17.3,28
111,18.0,28
112,17.3,28
113,17.1,28
114,17.0,28
115,16.9,28
116,16.6,28
117,16.8,28
118,16.2,28
119,15.6,28
120,15.0,28
121,15.1,28
122,15.2,28
123,15.0,28
124,14.6,28
125,14.8,28
126,15.3,28
127,15.5,28
128,16.0,28
129,15.7,28
130,15.1,28
131,15.0,28
132,15.3,28
133,15.0,28
134,14.5,28
135,14.5,28
136,14.3,28
137,13.8,28
138,14.1,28
139,14.4,28
140,14.1,28
141,12.8,28
142,12.3,28
143,12.7,28
144,12.8,28
145,13.8,28
146,13.2,28
147,13.1,28
148,13.1,28
149,13.8,28
150,14.0,28
151,12.8,28
152,14.0,28
153,14.5,28
154,14.8,28
155,13.6,28
156,11.7,28
157,11.6,28
158,11.8,28
159,12.7,28
160,12.7,28
161,13.4,28
162,13.1,28
163,12.7,28
164,12.4,28
165,12.9,28
166,12.4,28
167,12.2,28
168,12.5,28
169,12.2,28
170,12.1,28
171,12.4,28
172,13.1,28
173,12.5,28
174,12.2,28
175,12.5,28
176,11.8,28
177,11.2,28
178,11.2,28
179,10.8,28
180,10.4,28
181,10.8,28
182,10.1,28
183,9.900001,28
184,10.4,28
185,10.7,28
186,10.9,28
187,11.2,28
188,11.0,28
189,11.1,28
190,12.0,28
191,13.2,28
192,13.4,28
193,12.8,28
194,12.8,28
195,12.4,28
196,11.5,28
197,11.3,28
198,11.0,28
199,10.6,28
200,10.3,28
201,10.6,28
202,10.6,28
203,9.900001,28
204,10.3,28
205,9.5,28
206,9.3,28
207,8.6,28
208,8.5,28
209,8.0,28
210,7.2,28
211,6.6,28
212,6.7,28
213,8.2,28
214,7.8,28
215,7.6,28
216,7.3,28
217,7.3,28
218,7.7,28
219,7.5,28
220,7.8,28
221,7.6,28
222,6.9,28
223,6.8,28
224,7.5,28
225,7.7,28
226,8.2,28
227,8.1,28
228,8.400001,28
229,7.6,28
230,8.0,28
231,7.7,28
232,8.2,28
233,8.3,28
234,8.3,28
235,7.6,28
236,6.8,28
237,6.6,28
238,5.7,28
239,5.0,28
240,5.2,28
241,5.5,28
242,5.2,28
243,5.9,28
244,5.4,28
245,5.5,28
246,5.3,28
247,5.1,28
248,5.6,28
249,5.6,28
250,5.7,28
251,4.8,28
252,5.2,28
253,5.0,28
254,4.5,29
255,4.4,29
256,4.3,29
257,3.7,29
258,2.4,29
259,2.0,29
260,0.0,29
261,0.0,29
262,0.0,29
263,0.0,29
264,0.0,29
265,0.0,29
